RMNYStat-ID,RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY848,RMNY-C3750,RMNY-C,3750,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY849,RMNY-C3751,RMNY-C,3751,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY850,RMNY-C3752,RMNY-C,3752,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY850,RMNY-C3753,RMNY-C,3753,egyedi,eredeti,Gotha,Nat,1,,,,,,,
RMNY851,RMNY-C3754,RMNY-C,3754,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY851,RMNY-C3755,RMNY-C,3755,egyedi,eredeti,Debrecen,Ref,1,,,,,,,
RMNY852,RMNY-C3756,RMNY-C,3756,egyedi,eredeti,Budapest,Acad,1,,,(Ráth),,,,
RMNY852,RMNY-C3757,RMNY-C,3757,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY852,RMNY-C3758,RMNY-C,3758,egyedi,eredeti,Cluj,Acad III,1,,,,,,,
RMNY852,RMNY-C3759,RMNY-C,3759,egyedi,eredeti,Halle,Hung,1,,,,,,,
RMNY852,RMNY-C3760,RMNY-C,3760,egyedi,eredeti,Kežmarok,Ev,1,,,,,,,
RMNY853,RMNY-C3761,RMNY-C,3761,egyedi,eredeti,Budapest,Ev,1,,,,,,,
RMNY853,RMNY-C3762,RMNY-C,3762,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY854,RMNY-C3763,RMNY-C,3763,egyedi,eredeti,Bratislava,Acad,3,,,,,,,
RMNY854,RMNY-C3764,RMNY-C,3764,egyedi,eredeti,Bratislava,Univ,1,,,,,,,
RMNY854,RMNY-C3765,RMNY-C,3765,egyedi,eredeti,Budapest,Acad,2,*,,,,,,
RMNY854,RMNY-C3766,RMNY-C,3766,egyedi,eredeti,Budapest,Ev,1,,,,,,,
RMNY854,RMNY-C3767,RMNY-C,3767,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY854,RMNY-C3768,RMNY-C,3768,egyedi,eredeti,Budapest,Nat,1,,,(Haan Lajos),,,,
RMNY854,RMNY-C3769,RMNY-C,3769,egyedi,eredeti,Budapest,Ref,1,,,,,,,
RMNY854,RMNY-C3770,RMNY-C,3770,egyedi,eredeti,Esztergom,Simor,1,,,,,,,
RMNY854,RMNY-C3771,RMNY-C,3771,egyedi,eredeti,Győr,Semin,2,,,,,,,
RMNY854,RMNY-C3772,RMNY-C,3772,egyedi,eredeti,Halle,Hung,1,,,,,,,
RMNY855,RMNY-C3773,RMNY-C,3773,,,,,n.p.,,,,,,,
RMNY856,RMNY-C3774,RMNY-C,3774,,,,,n.p.,,,,,,,
RMNY857,RMNY-C3775,RMNY-C,3775,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY857,RMNY-C3776,RMNY-C,3776,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY857,RMNY-C3777,RMNY-C,3777,egyedi,eredeti,Cluj,Acad III,1,,,,,,,
RMNY857,RMNY-C3778,RMNY-C,3778,egyedi,eredeti,Cluj,Univ,4,,,,,,,
RMNY858,RMNY-C3779,RMNY-C,3779,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY858,RMNY-C3780,RMNY-C,3780,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY859,RMNY-C3781,RMNY-C,3781,egyedi,eredeti,Budapest,Nat,4,,,,,,,
RMNY860,RMNY-C3782,RMNY-C,3782,egyedi,eredeti,Budapest,Nat,3,,,"phot. suppl. (Budapest, Piar.; Cluj)",,,,
RMNY860,RMNY-C3783,RMNY-C,3783,egyedi,eredeti,Budapest,Piar,2,,,,,,,
RMNY860,RMNY-C3784,RMNY-C,3784,egyedi,eredeti,Cluj,Acad I,2,*,,,,,,
RMNY860,RMNY-C3785,RMNY-C,3785,egyedi,eredeti,Graz,OFM,1,,,,,,,
RMNY861,RMNY-C3786,RMNY-C,3786,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY861,RMNY-C3787,RMNY-C,3787,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY861,RMNY-C3788,RMNY-C,3788,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY861,RMNY-C3789,RMNY-C,3789,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY861,RMNY-C3790,RMNY-C,3790,egyedi,eredeti,Budapest,Nat,4,,,,,,,
RMNY862,RMNY-C3791,RMNY-C,3791,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY862,RMNY-C3792,RMNY-C,3792,egyedi,eredeti,Göttweig,,1,,,,,,,
RMNY863,RMNY-C3793,RMNY-C,3793,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY863,RMNY-C3794,RMNY-C,3794,egyedi,eredeti,Budapest,Nat,3,*,,,,,,
RMNY863,RMNY-C3795,RMNY-C,3795,egyedi,eredeti,Budapest,Univ,3,*,,,,,,
RMNY863,RMNY-C3796,RMNY-C,3796,egyedi,eredeti,Cluj,Acad II,1,,,,,,,
RMNY863,RMNY-C3797,RMNY-C,3797,egyedi,eredeti,Cluj,Univ,1,,,,,,,
RMNY863,RMNY-C3798,RMNY-C,3798,egyedi,eredeti,Cluj,Univ,2,*,,,,,,
RMNY863,RMNY-C3799,RMNY-C,3799,egyedi,eredeti,Debrecen,Ref,1,,,,,,,
RMNY863,RMNY-C3800,RMNY-C,3800,egyedi,eredeti,Debrecen,Univ,1,,,,,,,
RMNY863,RMNY-C3801,RMNY-C,3801,egyedi,eredeti,Sárospatak,Ref,1,,,,,,,
RMNY863,RMNY-C3802,RMNY-C,3802,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY863,RMNY-C3803,RMNY-C,3803,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY863,RMNY-C3804,RMNY-C,3804,egyedi,eredeti,Tîrgu Mureş,,1,,,,,,,
RMNY864,RMNY-C3805,RMNY-C,3805,,,,,n.p.,,,,,,,
RMNY865,RMNY-C3806,RMNY-C,3806,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY865,RMNY-C3807,RMNY-C,3807,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY865,RMNY-C3808,RMNY-C,3808,egyedi,eredeti,Berlin,Univ Inst,1,,,,,,,
RMNY865,RMNY-C3809,RMNY-C,3809,egyedi,eredeti,Csurgó,,2,,,,,,,
RMNY865,RMNY-C3810,RMNY-C,3810,egyedi,eredeti,Sárospatak,Ref,1,,,,,,,
RMNY866,RMNY-C3811,RMNY-C,3811,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY866,RMNY-C3812,RMNY-C,3812,egyedi,eredeti,Cluj,Univ,1,,,,,,,
RMNY867,RMNY-C3813,RMNY-C,3813,,,,,n.p.,,,,,,,
RMNY868,RMNY-C3814,RMNY-C,3814,egyedi,eredeti,Alba Iulia,,2,,,,,,,
RMNY868,RMNY-C3815,RMNY-C,3815,egyedi,eredeti,Bratislava,MS,2,,,,,,,
RMNY868,RMNY-C3816,RMNY-C,3816,egyedi,eredeti,Budapest,Acad,1,,,(Nemz. Múz.),,,,
RMNY868,RMNY-C3817,RMNY-C,3817,egyedi,eredeti,Budapest,Acad,4,,,,,,,
RMNY868,RMNY-C3818,RMNY-C,3818,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY868,RMNY-C3819,RMNY-C,3819,egyedi,eredeti,Budapest,Ref,1,,,,,,,
RMNY868,RMNY-C3820,RMNY-C,3820,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY868,RMNY-C3821,RMNY-C,3821,egyedi,eredeti,Cluj,Acad I,1,,,,,,,
RMNY868,RMNY-C3822,RMNY-C,3822,egyedi,eredeti,Cluj,Acad III,1,,,,,,,
RMNY868,RMNY-C3823,RMNY-C,3823,egyedi,eredeti,Cluj,Univ,1,,,,,,,
RMNY868,RMNY-C3824,RMNY-C,3824,egyedi,eredeti,Debrecen,Univ,2,,,,,,,
RMNY868,RMNY-C3825,RMNY-C,3825,egyedi,eredeti,Esztergom,Dioec,1,,,,,,,
RMNY868,RMNY-C3826,RMNY-C,3826,egyedi,eredeti,Gyöngyös,,1,,,,,,,
RMNY868,RMNY-C3827,RMNY-C,3827,egyedi,eredeti,Gyöngyös,,2,*,,,,,,
RMNY868,RMNY-C3828,RMNY-C,3828,egyedi,eredeti,Gyöngyös,,2,*,,,,,,
RMNY868,RMNY-C3829,RMNY-C,3829,egyedi,eredeti,Olomouc,Univ,2,,,,,,,
RMNY868,RMNY-C3830,RMNY-C,3830,egyedi,eredeti,Pannonhalma,,2,,,,,,,
RMNY868,RMNY-C3831,RMNY-C,3831,egyedi,eredeti,Zagreb,Univ,1,,,,,,,
RMNY869,RMNY-C3832,RMNY-C,3832,egyedi,eredeti,Budapest,Nat,2,,,"(Keszthely, Festetics)",,,,
RMNY869,RMNY-C3833,RMNY-C,3833,egyedi,eredeti,Budapest,Nat,2,,,phot. (London),,,,
RMNY869,RMNY-C3834,RMNY-C,3834,egyedi,eredeti,London,BM,1,,,,,,,
RMNY870,RMNY-C3835,RMNY-C,3835,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY870,RMNY-C3836,RMNY-C,3836,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY871,RMNY-C3837,RMNY-C,3837,,,,,n.p.,,,,,,,
RMNY872,RMNY-C3838,RMNY-C,3838,,,,,n.p.,,,,,,,
RMNY873,RMNY-C3839,RMNY-C,3839,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3840,RMNY-C,3840,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3841,RMNY-C,3841,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3842,RMNY-C,3842,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3843,RMNY-C,3843,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3844,RMNY-C,3844,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3845,RMNY-C,3845,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3846,RMNY-C,3846,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3847,RMNY-C,3847,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3848,RMNY-C,3848,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY873,RMNY-C3849,RMNY-C,3849,csoportos,eredeti,In 10 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; Sárospatak Ref; etc.",,11 expl.,
RMNY874,RMNY-C3850,RMNY-C,3850,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3851,RMNY-C,3851,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3852,RMNY-C,3852,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3853,RMNY-C,3853,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3854,RMNY-C,3854,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3855,RMNY-C,3855,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3856,RMNY-C,3856,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3857,RMNY-C,3857,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3858,RMNY-C,3858,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3859,RMNY-C,3859,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3860,RMNY-C,3860,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3861,RMNY-C,3861,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3862,RMNY-C,3862,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3863,RMNY-C,3863,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3864,RMNY-C,3864,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3865,RMNY-C,3865,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY874,RMNY-C3866,RMNY-C,3866,csoportos,eredeti,In 15 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Univ; Cluj-Napoca: Acad., Univ; Debrecen Ref; Sárospatak Ref; etc.",,17 expl.,
RMNY875A,RMNY-C3867,RMNY-C,3867,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY875A,RMNY-C3868,RMNY-C,3868,egyedi,eredeti,London,BM,4,,,,,,,
RMNY875A,RMNY-C3869,RMNY-C,3869,egyedi,eredeti,London,BM,4,,,,,,,
RMNY875,RMNY-C3870,RMNY-C,3870,,,,,n.p.,,,,,,,
RMNY876,RMNY-C3871,RMNY-C,3871,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY876,RMNY-C3872,RMNY-C,3872,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY877,RMNY-C3873,RMNY-C,3873,,,,,n.p.,,,,,,,
RMNY878,RMNY-C3874,RMNY-C,3874,,,,,n.p.,,,,,,,
RMNY879,RMNY-C3875,RMNY-C,3875,egyedi,phot.,Budapest,Nat,phot.,,,(Cluj),,,,
RMNY879,RMNY-C3876,RMNY-C,3876,egyedi,eredeti,Budapest,Ref,1,,,,,,,
RMNY879,RMNY-C3877,RMNY-C,3877,egyedi,eredeti,Cluj-Napoca,Univ,3,*,,,,,,
RMNY880,RMNY-C3878,RMNY-C,3878,,,,,n.p.,,,,,,,
RMNY881,RMNY-C3879,RMNY-C,3879,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY881,RMNY-C3880,RMNY-C,3880,egyedi,eredeti,Braşov,Arch,4,,,,,,,
RMNY881,RMNY-C3881,RMNY-C,3881,egyedi,eredeti,Braşov,Arch,4,,,,,,,
RMNY882,RMNY-C3882,RMNY-C,3882,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY883,RMNY-C3883,RMNY-C,3883,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY884,RMNY-C3884,RMNY-C,3884,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY884,RMNY-C3885,RMNY-C,3885,egyedi,eredeti,Debrecen,Ref,1,,,,,,,
RMNY885,RMNY-C3886,RMNY-C,3886,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY885,RMNY-C3887,RMNY-C,3887,egyedi,eredeti,Cluj-Napoca,Acad II,4,,,,,,,
RMNY885,RMNY-C3888,RMNY-C,3888,egyedi,eredeti,Cluj-Napoca,Acad II,4,,,,,,,
RMNY886,RMNY-C3889,RMNY-C,3889,egyedi,eredeti,Alba Iulia,,2,,,,,,,
RMNY886,RMNY-C3890,RMNY-C,3890,egyedi,phot.,Budapest,Acad,phot.,,,,,,,
RMNY886,RMNY-C3891,RMNY-C,3891,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY887,RMNY-C3892,RMNY-C,3892,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY888,RMNY-C3893,RMNY-C,3893,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3894,RMNY-C,3894,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3895,RMNY-C,3895,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3896,RMNY-C,3896,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3897,RMNY-C,3897,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3898,RMNY-C,3898,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3899,RMNY-C,3899,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3900,RMNY-C,3900,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3901,RMNY-C,3901,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3902,RMNY-C,3902,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3903,RMNY-C,3903,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3904,RMNY-C,3904,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3905,RMNY-C,3905,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3906,RMNY-C,3906,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY888,RMNY-C3907,RMNY-C,3907,csoportos,eredeti,In 14 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat; Debrecen Ref; etc.",,15 expl.,
RMNY889,RMNY-C3908,RMNY-C,3908,,,,,n.p.,,,,,,,
RMNY890,RMNY-C3909,RMNY-C,3909,egyedi,eredeti,Bratislava,Acad,2,,,,,,,
RMNY890,RMNY-C3910,RMNY-C,3910,egyedi,eredeti,Budapest,Nat,2,*,,,,,,
RMNY890,RMNY-C3911,RMNY-C,3911,egyedi,eredeti,Budapest,Univ,3,,,,,,,
RMNY890,RMNY-C3912,RMNY-C,3912,egyedi,eredeti,Csurgó,Gymn,3,*,,,,,,
RMNY890,RMNY-C3913,RMNY-C,3913,egyedi,eredeti,Pannonhalma,,3,,,,,,,
RMNY891,RMNY-C3914,RMNY-C,3914,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY891,RMNY-C3915,RMNY-C,3915,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY891,RMNY-C3916,RMNY-C,3916,egyedi,eredeti,Sighişoara,,0,,,,,,,
RMNY892,RMNY-C3917,RMNY-C,3917,,,,,n.p.,,,,,,,
RMNY893,RMNY-C3918,RMNY-C,3918,egyedi,eredeti,Bratislava,Univ,1,,,,,,,
RMNY893,RMNY-C3919,RMNY-C,3919,egyedi,phot.,Budapest,Nat,phot.,,,,,,,
RMNY894,RMNY-C3920,RMNY-C,3920,egyedi,eredeti,Bratislava,Mus,1,,,,,,,
RMNY894,RMNY-C3921,RMNY-C,3921,egyedi,eredeti,Budapest,Nat,2,*,,,,,,
RMNY894,RMNY-C3922,RMNY-C,3922,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY894,RMNY-C3923,RMNY-C,3923,egyedi,eredeti,Budapest,Univ,2,,,,,,,
RMNY894,RMNY-C3924,RMNY-C,3924,egyedi,eredeti,Debrecen,Ref,2,,,,,,,
RMNY894,RMNY-C3925,RMNY-C,3925,egyedi,eredeti,Sárospatak,Ref,2,*,,,,,,
RMNY895,RMNY-C3926,RMNY-C,3926,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3927,RMNY-C,3927,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3928,RMNY-C,3928,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3929,RMNY-C,3929,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3930,RMNY-C,3930,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3931,RMNY-C,3931,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3932,RMNY-C,3932,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3933,RMNY-C,3933,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3934,RMNY-C,3934,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3935,RMNY-C,3935,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3936,RMNY-C,3936,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3937,RMNY-C,3937,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3938,RMNY-C,3938,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3939,RMNY-C,3939,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3940,RMNY-C,3940,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
RMNY895,RMNY-C3941,RMNY-C,3941,csoportos,eredeti,In 16 bibliothecis,,n.a.,,,,"Budapest: Acad, Nat, Ref, Univ; Cluj-Napoca: Acad, Univ; Debrecen Ref; Sárospatak Ref; Tîrgu Mureş; etc.",,22 expl.,
