id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,13Lelöhely,13Lelöhely_count,15Olim,15Olim_count
ermk5378,RMNY,82,,Budapest Nat phot. (Sibiu) – Sibiu Mus 1 2*,2,"Kismarton, franc. zárda",1
ermk5379,RMNY,83,Vacat!,,0,,0
ermk5380,RMNY,84,,Budapest Nat phot. (Kalocsa) – Kalocsa Dioec 1 – Sighişoara 1,2,,0
ermk5381,RMNY,85,,,0,,0
ermk5382,RMNY,86,,Budapest Nat phot. – Cluj Univ 1,1,,0
,RMNY,87,,"Régi magyarországi nyomtatványok 1. 1473-1600 - Régi magyarországi nyomtatványok 1. (Budapest, 1971) Bratislava Univ 1 – Budapest Acad 1 2 3* – Budapest Nat 1 1 – Budapest Univ 1 – Sibiu Arch 1 (Erd. ev. egyházker.) – Wien Nat 1",9,"Budapest, Kornfeld Móric (Index ms) – Esztergom, Simor (Catalogus Bibliothecae Joannis Cardinalis Simor. Strigonii 1887, I 1144) – Kismarton, Eszterházy",3
ermk5384,RMNY,88,,Budapest Acad 4 (Toldy Ferenc),1,,0
ermk5388,RMNY,89,,Braşov Ev 1 – Budapest Nat phot. (Tîrgu Mureş) – London Wellcome 1 – Tîrgu Mureş 2* 2*,4,,0
,RMNY,90,,"Alba Iulia 2 – Banská Štiavnica Mus O – Budapest Acad 1 2* – Budapest Nat 2* 2 (Debrecen, ref. coll.) 2* 2 – Budapest Univ 2 – Cluj Acad II 2 – Cluj Acad III 2 4 – Cluj Univ 1 – Debrecen Ref 2 – Debrecen Univ 4 – Graz Univ 2 – Kezmarok MS 1 – Szeged Univ 4 – Wolfenbüttel 4",19,"Marosvásárhely, franc. kolostor",1
ermk5391,RMNY,91,,Budapest Nat phot. (Cluj) – Cluj Acad I 2 – Pannonhalma 3,2,,0
ermk5392,RMNY,92,,"Bratislava Acad 1 – Budapest Acad 1 3* – Budapest Nat 2 (Keszthely, Festetics) 3* – Budapest Univ 2* – Budapest Zsámár József 3 – Cluj Univ 1 – Debrecen Ref 2 – København Reg 1 – Košice Dioec 1",11,"Budapest, Kornfeld Móric (Index ms) – Budapest, Nagy István – Szatmárnémeti, Schlauch Lőrinc.",3
ermk5393,RMNY,93,,,0,,0
ermk5394,RMNY,94,,,0,,0
