01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
270,,"Aiud=1, Alba Iulia=1, Budapest=2, Cluj=5, Güssing=1, Kalocsa=1, London=1, Oxford=1, Tîrgu Mureş=2, Warszava=1","Székelykeresztúr, Torda"
271,,,Brassó
272,,"Alba Iulia=1, Cluj=2, Kraków=1, Oxford=1, Sibiu=1, Tîrgu Mureş=1",
273,,,
274,,Sibiu=1,
275,,Bucureşti=2,"Chernivtsi, Sibiu"
276,,Budapest=1,
277,,Csíkszereda=1,"Budapest, Sárospatak"
278,,Debrecen=1,
279,,"Cluj=1, Debrecen=1, London=1, Sárospatak=1, Stockholm=1","Budapest, Szatmárnémeti"
280,,Budapest=1,
281,,,
282,,,
283,,,
284,,"Budapest=4, Cluj=2",
285,,"Budapest=2, Cluj=2, London=1, Sibiu=1",
286,,"Budapest=1, Cluj=2, Stockholm=1, Tîrgu Mureş=1",
287,,"Budapest=1, Cluj=2, Güssing=1, Sibiu=2, Sighişoara=1, Tîrgu Mureş=1",Kalocsa
288,,Budapest=1,
289,,Cluj=1,
290,,Cluj=1,
291,,"Cluj=2, Miercurea Ciuc=1, Sibiu=2, Sighişoara=1, Tîrgu Mureş=1",
292,,Budapest=2,
293,,,
294,,Budapest=1,Budapest
295,,Budapest=2,Tibolddaróc
296,,Budapest=1,
297,,Budapest=1,Budapest
298,,Budapest=1,
299,,Budapest=2,
300,,Genève=1,
301,,Cluj=1,
302,,,
303,,Budapest=1,
304,,"Alba Iulia=1, Budapest=4, Cluj=2, Sibiu=2, Stockholm=1, Tîrgu Mureş=1",
305,,Cluj=1,
306,,"Debrecen=1, Sibiu=1, Tîrgu Mureş=1",
307,,"Alba Iulia=1, Betliar=1, Bucureşti=1, Budapest=8, Cluj=6, Debrecen=2, Greifswald=1, Keszthely=1, London=1, Miercurea Ciuc=1, Odorhei=1, Pécs=1, Sárospatak=3, Sibiu=3, Strängnäs=1, Szeged=1, Tîrgu Mureş=3, Zalău=1, Zirc=1","Budapest, Eger, Marosvásárhely"
308,,,
309,,Bucureşti=1,
310,,,Fălciu
311,,Budapest=1,
312,,Cluj=1,
313,,Budapest=1,
314,,Budapest=1,
315,,Budapest=1,
316,,,Budapest
317,,"Alba Iulia=1, Braşov=2, Budapest=8, Cluj=5, Debrecen=1, Dolný Kubín=1, Miercurea Ciuc=1, Nitra=1, Odorhei=1, Pannonhalma=1, Sárospatak=1, Sibiu=8, Strängnäs=1, Szeged=1, Tîrgu Mureş=1, Zalău=1, Zagreb=1",Sepsiszentgyörgy
318,,"Sárospatak,=1",
319,,Budapest=1,
320,,Budapest=1,
321,,,
322,,Budapest=2,
323,,Budapest=1,"Budapest, Tibolddaróc"
324,,Cluj=1,
325,,,Brassó
326,,,"Budapest, Budapest"
327,,"Aiud=1, Budapest=6, Cluj=1, London=1, Tîrgu Mureş=1","Budapest, Kolozsvár, Marosvásárhely"
328,,"Budapest=1, Debrecen=1",
329,,,
330,Vacat!,,
331,,,
332,Vacat!,,
333,,"Bratislava=1, Budapest=7, Cluj=2, Debrecen=1, Győr=1, London=1, Oponice=1, Sárospatak=1, Sopron=1, Wroclaw=1",
334,,"Bratislava=2, Budapest=9, Cluj=1, Debrecen=1, Dolný Kubín=1, Kecskemét=1, London=1, Martin=1, Odorhei=1, Sárospatak=1, Szeged=1","Budapest, Betlér"
335,,"Alba Iulia=1, Berlin=1, Bratislava=4, Budapest=3, Debrecen=1, Gotha=1, London=1, Pannonhalma=1, Sibiu=1, Wien=1",Pannonhalma
336,,Braşov=1,"Hilandar, Bucureşti"
337,,Bucureşti=1,
338,,,
339,,Budapest=1,
340,,Budapest=2,
341,,Budapest=1,"Budapest, Tibolddaróc"
342,,Budapest=2,
343,,Budapest=1,
344,,Budapest=1,
345,,Budapest=1,
346,,"Budapest=5, Cluj=2, London=1, Sárospatak=1","Budapest, Debrecen, Kolozsvár, Nagykőrös"
347,,"Budapest=6, Cluj=2, Debrecen=2, London=1, Sárospatak=1","Budapest, Debrecen, Nagykőrös"
348,,Budapest=2,
349,,Budapest=1,
350,,Budapest=2,Tibolddaróc
351,,"Alba Iulia=1, Budapest=11, Cluj=3, Debrecen=1, London=1, Tírgu=2",
352,,Budapest=1,
353,,"Budapest=2, Prešov=1",
354,,"Budapest=4, Praha=1, Zagreb=1",
355,,"Budapest=8, Cluj=1, Debrecen=1, Martin=1, Oponice=1, Pápa=1, Sárospatak=1, Radvaň=1",Privigye
356,,"Braşov=1, Bucureşti=3, Leningrad=1",Hilandar
357,,Budapest=1,
358,,"Budapest=3, Debrecen=2, Csíkszereda=1",Budapest
359,,Budapest=1,
360,,"Alba Iulia=1, Braşov=1, Bratislava=1, Budapest=16, Cluj=4, Debrecen=2, Kalocsa=1, Keszthely=1, London=1, München=1, Oponice=1, Pannonhalma=1, Pécs=1, Sárospatak=1, Sibiu=1, Tîrgu Mureş=3, Zagreb=1, Zalău=1","Kiskunhalas, Nagykőrös, Sepsiszentgyörgy, Szászváros, Székelyudvarhely"
361,,,
362,,"Bratislava=2, Bucureşti=1, Budapest=5, Cluj=1, Debrecen=1, Martin=1, Nitra=1, Nové=1, Oponice=1, Sárospatak=1, Spišská Nová Ves=1, Szeged=1",
363,,Sighişoara=2,
364,,"Budapest=1, Sighişoara=5",
365,,,
366,,Bucureşti=2,
367,,"Budapest=1, Tîrgu Mureş=1",Tibolddaróc
368,,"Budapest=3, Cluj=1","Budapest, Tibolddaróc"
369,,Sibiu=1,
370,,Sighişoara=1,
371,,Budapest=1,
372,,,
373,,Bratislava=1,
374,,"Alba Iulia=1, Bratislava=1, Budapest=7, Cluj=1, Debrecen=1, Gyöngyös=6, Győr=1, Jasov=1, Kalocsa=1, Kecskemét=1, Keszthely=1, Košice=1, Odorhei=1, Pécs=1, Praha=1, Sárospatak=1, Szeged=2","Esztergom, Marosvásárhely, Miskolc, Szatmárnémeti"
375,,,
376,,Bucureşti=2,
377,,"Braşov=1, Praha=1",Hilandar
378,,Budapest=1,
379,,,
380,,"Tîrgu Mureş=1",
381,,Budapest=1,
382,,,
383,,Budapest=1,
384,,"Budapest=1, Cluj=1, London=1",Szatmárnémeti
385,,"Budapest=2, Tîrgu Mureş=1",Tibolddaróc
386,,Budapest=2,Budapest
387,,"Budapest=2, Cluj=1",Szatmárnémeti
388,,Budapest=3,Tibolddaróc
390,,"Budapest=1, Cluj=1, Tîrgu Mureş=1",Tibolddaróc
391,,,
392,,,
393,,"Budapest=1, Debrecen=1",
394,,Budapest=1,
395,,"Budapest=1, Pápa=1",
396,,"Budapest=1, Västerås=1",
397,,,
398,,,
399,,"Bratislava=1, Budapest=1",
400,,"Budapest=1, Sibiu=1, Tîrgu Mureş=1, Zalău=1",
401,,,
402,,,
403,,Zagreb=1,
404,,Levoča=1,
405,,Levoča=1,
406,,"Budapest=2, Kežmarok=1, Wien=1",
407,,Budapest=1,Besztercebánya
408,,"Bratislava=1, Leipzig=1, Wien=1",
409,,"Bucureşti=3, Budapest=1",
410,,"Braşov=1, Bucureşti=1",
411,,,
412,,,Máramarossziget
413,,"Budapest=9, Cluj=1, Debrecen=2, Kecskemét=1, Pannonhalma=1, Sárospatak=1, Sfîntu-Gheorghe=1, Tîrgu Mureş=2","Budapest, Debrecen, Szatmárnémeti"
414,,Budapest=2,
415,,Budapest=1,
416,,London=1,
417,,"Olomouc=1, Praha=1",Wien
418,,"Aiud=1, Alba Iulia=2, Bratislava=3, Budapest=10, Cluj=2, Debrecen=2, Eger=2, Gyöngyös=3, Győr=2, Kalocsa=1, Martin=1, Nitra=1, Pannonhalma=1, Pápa=1, Pécs=1, Sárospatak=1, Szeged=1, Zagreb=1","Kolozsvár, Rozsnyó"
419,,,
420,,,
421,,Budapest=1,Budapest
422,,"Budapest=3, Martin=2, Nové=1",
423,,Braşov=1,
424,,Budapest=1,
425,,,
426,,"Budapest=1, Debrecen=1, Martin=1, Pannonhalma=1, Sárospatak=1, Szeged=1",
427,,,Körmend
428,,"Bucureşti=2, Leningrad=2, Sofija=1",
429,,Cluj=2,
430,,"Budapest=1, Cluj=1, Pápa=2",
431,,"Budapest=1, Cluj=1, Nitra=2, Pápa=1",Pápa
432,,"Bratislava=1, Budapest=2, Kecskemét=3, Keszthely=1, Martin=1",Budapest
433,,Pápa=1,Budapest
434,,Budapest=3,
435,,"Bucureşti=1, Plovdiv=1, Sofija=2",
436,,Budapest=2,
437,,"Budapest=2, Cluj=1",Budapest
438,,Budapest=2,Marosvásárhely
439,,"Budapest=1, Debrecen=1",Marosvásárhely
440,,,Budapest
441,,"Budapest=1, Pannonhalma=1",
442,,,
443,,Cluj=1,
444,,"Berlin=1, Budapest=9, Cluj=1, Debrecen=2, Győr=1, Jasov=1, Kraków=1, Olomouc=1, Pannonhalma=1, Praha=2, Szeged=1, Tîrgu Mureş=1, Warszawa=1, Wien=1, Zagreb=1",
445,,Praha=1,
446,,Budapest=1,
447,,Sighişoara=1,Sárospatak
448,,Budapest=1,
449,,"Budapest=4, Cluj=1",
450,,,
451,,,
452,,,Brassó
453,,London=1,
454,,"Budapest=5, Cluj=1, Debrecen=1, Sárospatak=2","Budapest, Máramarossziget, Rozsnyó, Sárospatak"
455,,London=1,
456,,"Bratislava=1, Brno=1, Budapest=2, Halle=1, Olomouc=1, Praha=1",
457,,,
458,,Budapest=1,Marosvásárhely
459,,,
460,,"Budapest=5, Cluj=2","Budapest, Marosvásárhely"
461,,Budapest=2,Marosvásárhely
462,,Budapest=3,
463,,Budapest=2,Budapest
464,,Budapest=1,
465,,Budapest=2,Marosvásárhely
466,,Cluj=1,
467,,"Budapest=2, Cluj=1",
468,,"Budapest=2, Cluj=1",Marosvásárhely
469,,Cluj=1,
470,,Budapest=2,
471,,Cluj=1,
472,,,
