id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
ermk5583,RMNY,226,,Debrecen=2,
ermk5584,RMNY,227,,,
ermk5585,RMNY,228,,"Braşov=1, Debrecen=1, Sibiu=1, Warszawa=1, Wien=1",
ermk5586,RMNY,229,,"Budapest=2, Cluj=1, Debrecen=1",
ermk5589,RMNY,230,,,
ermk5590,RMNY,231,,"Cambridge=1, Cluj=3, Sibiu=1, Tîrgu Mureş=1, Warszawa=1",
ermk5591,RMNY,232,,"Cluj=2, Stockholm=1, Tîrgu Mureş=1",
ermk5592,RMNY,233,,"Budapest=1, Cluj=1, Stockholm=1, Tîrgu Mureş=1",Kolozsvár
ermk5594,RMNY,234,,Cluj=1,
ermk5595,RMNY,235,,,
ermk5596,RMNY,236,,Budapest=1,
ermk5597,RMNY,237,,,
ermk5601,RMNY,238,,,
ermk5602,RMNY,239,,Cluj=3,
ermk5603,RMNY,240,,,
ermk5606,RMNY,241,,"Budapest=4, London=1, Odorhei=1, Praha=1, Zagreb=1","Wien, Szatmárnémeti"
ermk5609,RMNY,242,,"Budapest=1, Cluj=2, Sibiu=1",
ermk5610,RMNY,243,,"Budapest=1, Cluj=1",Kolozsvár
ermk5611,RMNY,244,,"Budapest=1, Cambridge=1, Cluj=2, Tîrgu Mureş=2, Warszawa=1, Wien=1",
ermk5612,RMNY,245,,"Budapest=2, Cambridge=1, Cluj=1, Tîrgu Mureş=3, Warszawa=1, Wien=1","Budapest, Torda"
ermk5614,RMNY,246,,,Kolozsvár
ermk5615,RMNY,247,,"Budapest=2, Cambridge=1, Cluj=6, Firenze=1, Sárospatak=1, Sibiu=3, Szeged=1, Tîrgu Mureş=1, Warszawa=1, Wien=1",
ermk5616,RMNY,248,,"Alba Iulia=1, Budapest=1",
ermk5617,RMNY,249,,"Budapest=2, Cluj=1, Kalocsa=1, London=1, Oxford=1, Sibiu=1, Sighişoara=1, Tîrgu Mureş=1, Warszawa=1, Wien=1, Wrocław=1",
ermk5618,RMNY,250,,"Alba Iulia=1, Budapest=3, Cambridge=1, London=1, Sárospatak=1, Sibiu=1, Tîrgu Mureş=2, Wien=1","Budapest, Kolozsvár"
