RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY-C-3453,,3453,egyedi,eredeti,RMNY789,Budapest,Ev,1,,,,,,,
RMNY-C-3454,,3454,egyedi,eredeti,RMNY790,Budapest,Acad,1,,,,,,,
RMNY-C-3455,,3455,egyedi,eredeti,RMNY790,Budapest,Acad,1,,,,,,,
RMNY-C-3456,,3456,egyedi,eredeti,RMNY790,Budapest,Nat,1,,,,,,,
RMNY-C-3457,,3457,egyedi,eredeti,RMNY790,Debrecen,Ref,1,,,,,,,
RMNY-C-3458,,3458,egyedi,eredeti,RMNY790,Debrecen,Univ,1,,,,,,,
RMNY-C-3459,,3459,egyedi,eredeti,RMNY790,Halle,Hung,1,,,,,,,
RMNY-C-3460,,3460,egyedi,eredeti,RMNY790,Kežmarok,Ev,1,,,,,,,
RMNY-C-3461,,3461,egyedi,eredeti,RMNY790,Sibiu,Mus,1,,,,,,,
RMNY-C-3462,,3462,egyedi,eredeti,RMNY790,Tîrgu Mureş,,1,,,,,,,
RMNY-C-3463,,3463,egyedi,eredeti,RMNY791,Budapest,Acad,1,,,,,,,
RMNY-C-3464,,3464,egyedi,eredeti,RMNY791,Budapest,Nat,1,,,,,,,
RMNY-C-3465,,3465,egyedi,eredeti,RMNY791,Cluj,Acad II,1,,,,,,,
RMNY-C-3466,,3466,egyedi,eredeti,RMNY791,Halle,Hung,1,,,,,,,
RMNY-C-3467,,3467,egyedi,eredeti,RMNY791,Kežmarok,Ev,1,,,,,,,
RMNY-C-3468,,3468,egyedi,eredeti,RMNY791,Kežmarok,Ev,1,,,,,,,
RMNY-C-3469,,3469,egyedi,eredeti,RMNY792,Budapest,Nat,1,,,,,,,
RMNY-C-3470,,3470,egyedi,eredeti,RMNY793,Bratislava,Acad,1,,,,,,,
RMNY-C-3471,,3471,egyedi,eredeti,RMNY793,Bratislava,Acad,2,,,,,,,
RMNY-C-3472,,3472,egyedi,eredeti,RMNY793,Budapest,Acad,2,,,,,,,
RMNY-C-3473,,3473,egyedi,eredeti,RMNY793,Budapest,Nat,2,,,,,,,
RMNY-C-3474,,3474,egyedi,eredeti,RMNY793,Budapest,Nat,2,,,,,phot. suppl. (Bratislava),,
RMNY-C-3475,,3475,egyedi,eredeti,RMNY793,Cluj,Univ,1,,,,,,,
RMNY-C-3476,,3476,egyedi,eredeti,RMNY793,Nitra,Dioec,2,,,,,,,
RMNY-C-3477,,3477,egyedi,eredeti,RMNY793,Pápa,Ref,4,,,,,,,
RMNY-C-3478,,3478,egyedi,eredeti,RMNY793,Sárospatak,Ref,2,,,,,,,
RMNY-C-3479,,3479,egyedi,eredeti,RMNY793,Tîrgu Mureş,,1,,,,,,,
RMNY-C-3480,,3480,egyedi,phot.,RMNY794,Budapest,Nat,phot.,,,,,partim,,
RMNY-C-3481,,3481,egyedi,eredeti,RMNY794,Sibiu,Arch,1,,,,,,,
RMNY-C-3482,,3482,egyedi,phot.,RMNY795,Budapest,Nat,phot.,,,,,,,
RMNY-C-3483,,3483,egyedi,eredeti,RMNY795,Martin,MS,1,,,,,,,
RMNY-C-3484,,3484,egyedi,eredeti,RMNY795,Martin,MS,4,,,,,,,
RMNY-C-3485,,3485,egyedi,eredeti,RMNY796,Budapest,Acad,1,,,,,,,
RMNY-C-3486,,3486,egyedi,eredeti,RMNY797,Budapest,Univ,1,,,,,,,
RMNY-C-3487,,3487,egyedi,eredeti,RMNY797,Martin,MS,1,,,,,,,
RMNY-C-3488,,3488,egyedi,eredeti,RMNY798,Halle,Hung,1,,,,,,,
RMNY-C-3489,,3489,,,RMNY799,,,n.p.,,,,,,,
RMNY-C-3490,,3490,,,RMNY800,,,n.p.,,,,,,,
RMNY-C-3491,,3491,egyedi,eredeti,RMNY801,Budapest,Nat,4,,,,,,,
RMNY-C-3492,,3492,egyedi,phot.,RMNY802,Budapest,Acad,phot.,,,(Cluj),,,,
RMNY-C-3493,,3493,egyedi,phot.,RMNY802,Budapest,Nat,phot.,,,(Cluj.),,,,
RMNY-C-3494,,3494,egyedi,eredeti,RMNY802,Cluj,Acad II,1,,,,,,,
RMNY-C-3495,,3495,egyedi,eredeti,RMNY803,Budapest,Nat,1,,,,,,,
RMNY-C-3496,,3496,,,RMNY804,,,n.p.,,,,,,,
RMNY-C-3497,,3497,egyedi,eredeti,RMNY805,Budapest,Acad,1,,,,,,,
RMNY-C-3498,,3498,egyedi,eredeti,RMNY805,Cluj,Univ,1,,,,,,,
RMNY-C-3499,,3499,egyedi,phot.,RMNY806,Budapest,Nat,phot.,,,,,,,
RMNY-C-3500,,3500,egyedi,eredeti,RMNY805,Tîrgu Mureş,,1,,,,,,,
RMNY-C-3501,,3501,egyedi,eredeti,RMNY807,Budapest,Nat,1,,,,,,,
RMNY-C-3502,,3502,egyedi,eredeti,RMNY807,Cluj,Univ,3,,,,,,,
RMNY-C-3503,,3503,egyedi,eredeti,RMNY808,Alba Iulia,,1,,,,,,,
RMNY-C-3504,,3504,egyedi,eredeti,RMNY808,Alba Iulia,,1,,,,,,,
RMNY-C-3505,,3505,egyedi,eredeti,RMNY808,Bratislava,MS,1,,,,,,,
RMNY-C-3506,,3506,egyedi,eredeti,RMNY808,Budapest,Nat,1,,,,,,,
RMNY-C-3507,,3507,egyedi,eredeti,RMNY808,Budapest,Nat,1,,,,,,,
RMNY-C-3508,,3508,egyedi,eredeti,RMNY808,Budapest,Univ,1,,,,,,,
RMNY-C-3509,,3509,egyedi,eredeti,RMNY808,Cluj,Acad I,1,,,,,,,
RMNY-C-3510,,3510,egyedi,eredeti,RMNY808,Cluj,Acad I,2,,,,,,,
RMNY-C-3511,,3511,egyedi,eredeti,RMNY808,Cluj,Univ,1,,,,,,,
RMNY-C-3512,,3512,egyedi,eredeti,RMNY808,Cluj,Univ,1,,,,,,,
RMNY-C-3513,,3513,egyedi,eredeti,RMNY808,Debrecen,Univ,1,,,,,,,
RMNY-C-3514,,3514,egyedi,eredeti,RMNY808,Gyöngyös,,1,,,,,,,
RMNY-C-3515,,3515,egyedi,eredeti,RMNY808,Pannonhalma,,2,,,,,,,
RMNY-C-3516,,3516,egyedi,eredeti,RMNY808,Sibiu,Arch,2,,,,,,,
RMNY-C-3517,,3517,egyedi,eredeti,RMNY808,Sibiu,Mus,1,,,,,,,
RMNY-C-3518,,3518,egyedi,eredeti,RMNY808,Sighişoara,,1,,,,,,,
RMNY-C-3519,,3519,egyedi,eredeti,RMNY808,Tîrgu Mureş,,1,,,,,,,
RMNY-C-3520,,3520,,,RMNY809,,,n.p.,,,,,,,
RMNY-C-3521,,3521,egyedi,eredeti,RMNY810,Budapest,Nat,1,,,,,,,
RMNY-C-3522,,3522,egyedi,eredeti,RMNY810,Budapest,Nat,1,,,,,,,
RMNY-C-3523,,3523,egyedi,eredeti,RMNY810,Gyöngyös,,1,,,,,,,
RMNY-C-3524,,3524,,,RMNY811,,,n.p.,,,,,,,
RMNY-C-3525,,3525,,,RMNY812,,,n.p.,,,,,,,
RMNY-C-3526,,3526,egyedi,eredeti,RMNY813,Budapest,Nat,3,,,,,,,
RMNY-C-3527,,3527,egyedi,eredeti,RMNY814,Budapest,Acad,1,,,,,,,
RMNY-C-3528,,3528,egyedi,eredeti,RMNY814,Budapest,Nat,1,,,,,,,
RMNY-C-3529,,3529,egyedi,eredeti,RMNY814,Kežmarok,Ev,1,,,,,,,
RMNY-C-3530,,3530,egyedi,eredeti,RMNY815,Aiud,,2,*,,,,,,
RMNY-C-3531,,3531,egyedi,eredeti,RMNY815,Budapest,Acad,2,*,,,,,,
RMNY-C-3532,,3532,egyedi,eredeti,RMNY815,Budapest,Acad,2,,,,,,,
RMNY-C-3533,,3533,egyedi,eredeti,RMNY815,Budapest,Nat,1,,,,,,,
RMNY-C-3534,,3534,egyedi,eredeti,RMNY815,Budapest,Nat,2,,,,,,,
RMNY-C-3535,,3535,egyedi,eredeti,RMNY815,Budapest,Univ,1,,,,,,,
RMNY-C-3536,,3536,egyedi,eredeti,RMNY815,Cluj,Acad II,2,,,,,,,
RMNY-C-3537,,3537,egyedi,eredeti,RMNY815,Cluj,Univ,1,,,(RMK II 277),,,,
RMNY-C-3538,,3538,egyedi,eredeti,RMNY815,Cluj,Univ,2,*,,,,,,
