RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
431,Detrekő,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,156,,,,,,,,,,,,
432,Detrekő,1579,Rákóczi-család,Sárospatak,1660,KKK,1,153,,,,,,,,,,,,
432,Detrekő,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,76,,,,,,,,,,,,
432,Detrekő,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,157,,,,,,,,,,,,
444,Nagyszombat,1579,Dudith András,Wrocław,1589,Adattár,12/3,150,,,,,,,,,,,,
474,Nagyszombat,1580,Rákóczi-család,Sárospatak,1660,KKK,1,154,,,,,,,,,,,,
474,Nagyszombat,1580,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
474,Nagyszombat,1580,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,342,,,,,,,,,,,,
476,Nagyszombat,1580,Mossóczi Zakariás,Nyitra,1587,Adattár,11,457,,,,,,,,,,,,
476,Nagyszombat,1580,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,304,,,,,,,,,,,,
518,Németújvár,1582,Beythe-család,Németújvár,1612,KKK,9,257,,,,,,,,,,,,
525,Debrecen,1583,Ráday-család,Pécel,1730,KKK,7,203,,,,,,,,,,,,
525,Debrecen,1583,Bethlen-kollégium,Nagyenyed,1762,KKK,10,147,,,,,,,,,,,,
528,Nagyszombat,1583,Rákóczi-család,Sárospatak,1660,KKK,1,160,,,,,,,,,,,,
528,Nagyszombat,1583,Ceglédi Szabó Pál,Pápa,1649,KKK,9,416,,,,,,,,,,,,
532,Németújvár,1582,Batthyány Ádám,Németújvár,1654,KKK,4,250,,,,,,,,,,,,
533,Németújvár,1583,Beythe-család,Németújvár,1612,KKK,9,210,,,,,,,,,,,,
534,Németújvár,1583,Beythe-család,Németújvár,1612,KKK,9,256,,,,,,,,,,,,
536,Németújvár,1583,Beythe-család,Németújvár,1612,KKK,9,319,,,,,,,,,,,,
539,Debrecen,1584,Rákóczi-család,Sárospatak,1660,KKK,1,158,,,,,,,,,,,,
541,Detrekő,1584,Bethlen-kollégium,Nagyenyed,1762,KKK,10,9,,,,,,,,,,,,
541,Detrekő,1584,Mossóczi Zakariás,Nyitra,1587,Adattár,11,475,,,,,,,,,,,,
547,Kolozsvár,1584,Dudith András,Wrocław,1589,Adattár,12/2,149,,,,,,,,,,,,
549,Nagyszombat,1584,Dudith András,Wrocław,1589,Adattár,12/2,150,,,,,,,,,,,,
549,Nagyszombat,1584,Ráday-család,Pécel,1725,Adattár,13/4,303,,,,,,,,,,,,
